Harga Aktual (Rp),Harga Prediksi (Rp),Residual
5000000000.0,4908367000.0,91633152.0
5000000000.0,4908367000.0,91633152.0
3500000000.0,4100828000.0,-600827904.0
6500000000.0,6124883000.0,375117056.0
4500000000.0,4447112700.0,52887296.0
7000000000.0,6819663400.0,180336640.0
1000000000.0,1153022000.0,-153021952.0
2500000000.0,2983737300.0,-483737344.0
750000000.0,846846300.0,-96846272.0
5000000000.0,4569441000.0,430559232.0
1250000000.0,1383460100.0,-133460096.0
3500000000.0,4100828000.0,-600827904.0
1650000000.0,1386177900.0,263822080.0
1150000000.0,1122831000.0,27169024.0
945000000.0,901783040.0,43216960.0
945000000.0,901783040.0,43216960.0
1650000000.0,1383460100.0,266539904.0
6500000000.0,5698248700.0,801751296.0
7000000000.0,6344633300.0,655366656.0
4500000000.0,4400595500.0,99404544.0
1150000000.0,1122831000.0,27169024.0
1250000000.0,1383460100.0,-133460096.0
3500000000.0,3815181000.0,-315181056.0
1000000000.0,1153022000.0,-153021952.0
3500000000.0,3815181000.0,-315181056.0
5000000000.0,4569441000.0,430559232.0
6000000000.0,5278287400.0,721712640.0
2300000000.0,2244275700.0,55724288.0
6000000000.0,5278287400.0,721712640.0
5000000000.0,4569441000.0,430559232.0
1250000000.0,1254078600.0,-4078592.0
2300000000.0,2244275700.0,55724288.0
550000000.0,714672400.0,-164672384.0
3900000000.0,4316303400.0,-416303360.0
5500000000.0,5851542500.0,-351542528.0
5000000000.0,4742838000.0,257162240.0
1500000000.0,1395337600.0,104662400.0
7000000000.0,6426331000.0,573668864.0
4500000000.0,4715066400.0,-215066368.0
575000000.0,697100500.0,-122100480.0
825000000.0,843747460.0,-18747456.0
3700000000.0,2336068900.0,1363931136.0
900000000.0,900071500.0,-71488.0
2500000000.0,2566320600.0,-66320640.0
945000000.0,901783040.0,43216960.0
3700000000.0,2336068900.0,1363931136.0
1500000000.0,1395337600.0,104662400.0
7000000000.0,6426331000.0,573668864.0
4500000000.0,4715066400.0,-215066368.0
575000000.0,697100500.0,-122100480.0
825000000.0,843747460.0,-18747456.0
945000000.0,901783040.0,43216960.0
900000000.0,900071500.0,-71488.0
2500000000.0,2566320600.0,-66320640.0
1150000000.0,1122831000.0,27169024.0
945000000.0,901783040.0,43216960.0
1650000000.0,1383460100.0,266539904.0
1250000000.0,1383460100.0,-133460096.0
3500000000.0,3815181000.0,-315181056.0
3170000000.0,3598758400.0,-428758400.0
3160000000.0,3598758400.0,-438758400.0
3150000000.0,3598758400.0,-448758400.0
